GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, ageGroup",3.0,,0-4,161,0.32,0.21,0.31,0.22,51,110,110,373,11,10,0.09,100,40,0.78,6,46,0.3,106,3,0.33,35,40,0.33,80,6,0.14,58,14,0.13,87,2,0.03
"fitzpatrick, ageGroup",3.0,,10-14,15,0.2,0.1,0.6,0.13,9,6,6,39,2,0,0.0,4,9,0.81,1,0,0.0,14,0,0.0,0,5,0.33,10,0,0.0,3,1,0.08,11,0,0.0
"fitzpatrick, ageGroup",3.0,,15-19,1,0.25,0.0,1.0,0.0,1,0,0,3,0,0,0.0,0,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0
"fitzpatrick, ageGroup",3.0,,20-24,8,0.0,0.43,0.0,0.33,0,8,8,16,1,0,0.0,7,0,0.0,1,0,0.0,7,0,0.0,0,6,0.75,2,0,0.0,6,2,1.0,0,0,0.0
"fitzpatrick, ageGroup",3.0,,25-29,15,0.26,0.23,0.26,0.24,4,11,11,34,1,0,0.0,12,2,0.66,7,0,0.0,8,0,0.0,0,5,0.33,10,0,0.0,3,6,0.6,4,2,0.4
"fitzpatrick, ageGroup",3.0,,30-34,3,0.0,0.24,0.0,0.33,0,3,3,6,0,1,0.33,2,0,0.0,2,0,0.0,1,0,0.0,0,2,0.66,1,0,0.0,1,0,0.0,2,0,0.0
"fitzpatrick, ageGroup",3.0,,35-39,8,0.15,0.27,0.37,0.2,3,5,5,19,0,2,0.25,6,0,0.0,3,1,0.2,4,0,0.0,2,2,0.66,1,3,0.6,0,0,0.0,8,0,0.0
"fitzpatrick, ageGroup",3.0,,40-44,7,0.0,0.24,0.0,0.33,0,7,7,14,0,2,0.28,5,0,0.0,7,0,0.0,0,0,0.0,0,2,0.28,5,0,0.0,0,3,0.42,4,0,0.0
"fitzpatrick, ageGroup",3.0,,45-49,6,0.2,0.08,0.66,0.11,4,2,2,16,1,0,0.0,1,4,0.8,1,0,0.0,5,0,0.0,0,0,0.0,6,0,0.0,0,2,0.33,4,0,0.0
"fitzpatrick, ageGroup",3.0,,5-9,61,0.33,0.22,0.32,0.22,20,41,41,142,2,4,0.08,43,12,0.85,8,20,0.44,25,8,0.5,24,8,0.21,29,0,0.0,7,9,0.16,45,0,0.0
