GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, sex, ageGroup",3.0,f,40-44,2,0.0,0.25,0.0,0.33,0,2,2,4,0,1,0.5,1,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,1,0.5,1,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,45-49,4,0.25,0.0,1.0,0.0,4,0,0,12,0,0,0.0,0,4,1.0,0,0,0.0,4,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,4,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,5-9,32,0.31,0.28,0.15,0.28,5,27,27,69,2,4,0.14,24,2,0.5,1,19,0.67,9,3,0.75,24,2,0.25,6,0,0.0,0,2,0.06,30,0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,50-54,14,0.12,0.22,0.21,0.26,3,11,11,31,3,0,0.0,8,3,0.5,2,0,0.0,12,0,0.0,0,9,0.64,5,0,0.0,6,2,0.25,6,0,0.0
"fitzpatrick, sex, ageGroup",3.0,m,0-4,91,0.35,0.2,0.36,0.21,33,58,58,215,5,5,0.07,59,22,0.81,6,25,0.3,57,3,0.33,29,16,0.28,40,6,0.17,18,12,0.16,59,2,0.1
"fitzpatrick, sex, ageGroup",3.0,m,10-14,8,0.17,0.09,0.62,0.12,5,3,3,21,2,0,0.0,1,5,0.71,0,0,0.0,8,0,0.0,0,3,0.37,5,0,0.0,1,0,0.0,7,0,0.0
"fitzpatrick, sex, ageGroup",3.0,m,20-24,3,0.0,0.25,0.0,0.33,0,3,3,6,0,0,0.0,3,0,0.0,0,0,0.0,3,0,0.0,0,3,1.0,0,0,0.0,3,0,0.0,0,0,0.0
"fitzpatrick, sex, ageGroup",3.0,m,25-29,5,0.25,0.25,0.2,0.26,1,4,4,11,0,0,0.0,5,0,0.0,4,0,0.0,1,0,0.0,0,0,0.0,5,0,0.0,0,4,1.0,0,1,1.0
"fitzpatrick, sex, ageGroup",3.0,m,40-44,5,0.0,0.25,0.0,0.33,0,5,5,10,0,1,0.2,4,0,0.0,5,0,0.0,0,0,0.0,0,2,0.4,3,0,0.0,0,2,0.4,3,0,0.0
"fitzpatrick, sex, ageGroup",3.0,m,45-49,2,0.0,0.25,0.0,0.33,0,2,2,4,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,0,2,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",3.0,m,5-9,29,0.35,0.14,0.51,0.16,15,14,14,73,0,0,0.0,19,10,1.0,7,1,0.05,16,5,0.41,0,6,0.2,23,0,0.0,7,7,0.31,15,0,0.0
"fitzpatrick, sex, ageGroup",3.0,m,55-59,4,0.0,0.25,0.0,0.33,0,4,4,8,0,0,0.0,4,0,0.0,4,0,0.0,0,0,0.0,0,3,0.75,1,0,0.0,0,1,0.25,3,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,0-4,33,0.14,0.24,0.18,0.27,6,27,27,72,4,0,0.0,24,5,0.55,0,23,0.69,10,0,0.0,21,3,0.27,8,1,0.04,2,1,0.03,30,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,10-14,2,0.25,0.0,1.0,0.0,2,0,0,6,0,0,0.0,0,2,1.0,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,15-19,5,0.0,0.32,0.0,0.33,0,5,5,10,0,1,0.2,4,0,0.0,2,0,0.0,3,0,0.0,0,3,0.6,2,0,0.0,3,1,0.5,1,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,20-24,12,0.0,0.34,0.0,0.33,0,12,12,24,0,3,0.25,9,0,0.0,8,2,0.5,2,0,0.0,0,6,0.5,6,0,0.0,4,1,0.12,7,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,25-29,22,0.25,0.21,0.18,0.27,4,18,18,48,0,3,0.16,15,4,1.0,1,0,0.0,21,0,0.0,0,15,0.68,7,0,0.0,17,0,0.0,5,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,30-34,10,0.43,0.2,0.4,0.2,4,6,6,24,0,1,0.12,7,2,1.0,2,0,0.0,8,0,0.0,1,3,0.37,5,1,0.5,3,2,0.33,4,1,0.25
"fitzpatrick, sex, ageGroup",4.0,f,35-39,5,0.0,0.35,0.0,0.33,0,5,5,10,0,0,0.0,5,0,0.0,3,0,0.0,2,0,0.0,0,2,0.4,3,0,0.0,2,3,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,40-44,2,0.0,0.25,0.0,0.33,0,2,2,4,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0,0,2,1.0,0,0,0.0,2,0,0.0,0,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,5-9,12,0.25,0.35,0.16,0.27,2,10,10,26,0,0,0.0,10,2,1.0,0,0,0.0,12,0,0.0,6,4,0.66,2,0,0.0,4,6,0.75,2,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,50-54,7,0.0,0.24,0.0,0.33,0,7,7,14,0,1,0.14,6,0,0.0,7,0,0.0,0,0,0.0,0,2,0.28,5,0,0.0,0,4,0.57,3,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,55-59,8,0.0,0.24,0.0,0.33,0,8,8,16,0,1,0.12,7,0,0.0,0,0,0.0,8,0,0.0,0,7,0.87,1,0,0.0,8,0,0.0,0,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,60-64,9,0.0,0.27,0.0,0.33,0,9,9,18,0,2,0.22,7,0,0.0,8,0,0.0,1,0,0.0,0,1,0.11,8,0,0.0,1,6,0.75,2,0,0.0
"fitzpatrick, sex, ageGroup",4.0,f,65-69,2,0.12,0.12,0.5,0.16,1,1,1,5,1,0,0.0,0,1,0.5,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0,0,1,0.5,1,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,0-4,23,0.3,0.17,0.47,0.17,11,12,12,57,4,2,0.22,7,10,0.71,0,4,0.17,19,0,0.0,1,5,0.23,16,1,0.5,7,1,0.06,15,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,10-14,18,0.0,0.42,0.0,0.33,0,18,18,36,0,2,0.11,16,0,0.0,7,3,0.27,8,0,0.0,0,6,0.33,12,0,0.0,11,7,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,15-19,3,0.0,0.33,0.0,0.33,0,3,3,6,0,0,0.0,3,0,0.0,2,0,0.0,1,0,0.0,0,1,0.33,2,0,0.0,1,2,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,20-24,9,0.0,0.47,0.0,0.33,0,9,9,18,0,0,0.0,9,0,0.0,1,0,0.0,8,0,0.0,0,8,0.88,1,0,0.0,8,1,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,25-29,14,0.25,0.21,0.21,0.26,3,11,11,31,0,0,0.0,11,3,1.0,6,0,0.0,8,0,0.0,0,9,0.64,5,0,0.0,5,2,0.22,7,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,30-34,19,0.01,0.23,0.05,0.31,1,18,18,39,0,1,0.05,18,0,0.0,4,0,0.0,15,0,0.0,0,17,0.89,2,0,0.0,14,0,0.0,4,1,0.06
"fitzpatrick, sex, ageGroup",4.0,m,35-39,8,0.0,0.24,0.0,0.33,0,8,8,16,0,3,0.37,5,0,0.0,5,0,0.0,3,0,0.0,0,5,0.62,3,0,0.0,3,0,0.0,5,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,40-44,2,0.0,0.25,0.0,0.33,0,2,2,4,2,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0,0,2,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",4.0,m,5-9,25,0.16,0.28,0.16,0.28,4,21,21,54,4,0,0.0,18,3,0.42,2,12,0.52,11,0,0.0,12,6,0.46,7,0,0.0,3,3,0.14,18,1,0.25
"fitzpatrick, sex, ageGroup",4.0,m,50-54,4,0.0,0.43,0.0,0.33,0,4,4,8,0,0,0.0,4,0,0.0,1,0,0.0,3,0,0.0,0,3,0.75,1,0,0.0,3,1,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,0-4,35,0.03,0.31,0.05,0.31,2,33,33,72,3,2,0.06,30,0,0.0,15,12,0.63,7,1,0.06,15,2,0.1,17,1,0.06,0,17,0.48,18,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,10-14,22,0.19,0.17,0.31,0.22,7,15,15,51,2,1,0.07,12,7,0.77,1,2,0.09,19,0,0.0,0,12,0.54,10,0,0.0,12,0,0.0,10,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,15-19,1,0.25,0.0,1.0,0.0,1,0,0,3,0,0,0.0,0,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,20-24,4,0.0,0.25,0.0,0.33,0,4,4,8,0,1,0.25,3,0,0.0,1,0,0.0,3,0,0.0,0,3,0.75,1,0,0.0,3,0,0.0,1,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,25-29,7,0.12,0.21,0.14,0.28,1,6,6,15,1,0,0.0,5,1,0.5,0,3,0.42,4,0,0.0,0,3,0.42,4,0,0.0,5,0,0.0,2,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,30-34,5,0.0,0.4,0.0,0.33,0,5,5,10,0,0,0.0,5,0,0.0,2,0,0.0,3,0,0.0,0,3,0.6,2,0,0.0,3,2,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,40-44,6,0.12,0.2,0.16,0.27,1,5,5,13,1,0,0.0,4,1,0.5,4,0,0.0,2,0,0.0,0,3,0.5,3,0,0.0,0,2,0.33,4,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,5-9,18,0.0,0.47,0.0,0.33,0,18,18,36,2,3,0.18,13,0,0.0,0,13,0.72,5,0,0.0,16,2,1.0,0,0,0.0,0,0,0.0,18,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,50-54,4,0.0,0.43,0.0,0.33,0,4,4,8,0,0,0.0,4,0,0.0,1,0,0.0,3,0,0.0,0,3,0.75,1,0,0.0,3,1,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",5.0,f,55-59,6,0.16,0.08,0.66,0.11,4,2,2,16,2,0,0.0,0,4,0.66,0,0,0.0,6,0,0.0,0,1,0.16,5,0,0.0,0,1,0.16,5,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,0-4,95,0.16,0.25,0.2,0.26,19,76,76,209,9,6,0.08,61,19,0.67,3,29,0.31,63,0,0.0,30,37,0.56,28,0,0.0,34,4,0.06,57,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,10-14,10,0.16,0.23,0.2,0.26,2,8,8,22,1,3,0.42,4,2,0.66,2,0,0.0,8,0,0.0,0,5,0.5,5,0,0.0,5,0,0.0,5,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,15-19,13,0.08,0.23,0.07,0.3,1,12,12,27,2,1,0.1,9,1,0.33,1,0,0.0,12,0,0.0,0,11,0.84,2,0,0.0,9,0,0.0,4,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,20-24,9,0.0,0.24,0.0,0.33,0,9,9,18,0,2,0.22,7,0,0.0,6,0,0.0,3,0,0.0,0,7,0.77,2,0,0.0,3,0,0.0,6,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,25-29,14,0.12,0.28,0.07,0.3,1,13,13,29,1,1,0.08,11,1,0.5,6,0,0.0,8,0,0.0,0,8,0.57,6,0,0.0,6,4,0.5,4,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,30-34,11,0.16,0.22,0.36,0.21,4,7,7,26,2,2,0.4,3,4,0.66,3,0,0.0,8,0,0.0,0,3,0.27,8,0,0.0,2,2,0.22,7,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,35-39,6,0.0,0.25,0.0,0.33,0,6,6,12,0,0,0.0,6,0,0.0,0,0,0.0,6,0,0.0,0,6,1.0,0,0,0.0,6,0,0.0,0,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,5-9,73,0.15,0.35,0.04,0.31,3,70,70,149,2,2,0.02,66,3,0.6,23,36,0.72,14,0,0.0,16,9,0.15,48,0,0.0,29,23,0.52,21,0,0.0
"fitzpatrick, sex, ageGroup",5.0,m,50-54,3,0.0,0.24,0.0,0.33,0,3,3,6,0,1,0.33,2,0,0.0,0,0,0.0,3,0,0.0,0,2,0.66,1,0,0.0,3,0,0.0,0,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,0-4,3,0.37,0.08,0.66,0.11,2,1,1,8,0,0,0.0,2,1,1.0,0,1,0.33,2,0,0.0,0,0,0.0,3,0,0.0,1,0,0.0,1,1,0.5
"fitzpatrick, sex, ageGroup",6.0,f,10-14,2,0.25,0.25,0.5,0.16,1,1,1,5,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,0,1,1.0,0,1,1.0
"fitzpatrick, sex, ageGroup",6.0,f,15-19,1,0.0,0.25,0.0,0.33,0,1,1,2,0,0,0.0,1,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,25-29,6,0.12,0.22,0.16,0.27,1,5,5,13,1,0,0.0,5,0,0.0,3,0,0.0,3,0,0.0,1,1,0.25,3,1,0.5,0,4,0.66,2,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,30-34,5,0.0,0.35,0.0,0.33,0,5,5,10,1,0,0.0,4,0,0.0,1,0,0.0,4,0,0.0,1,3,0.75,1,0,0.0,2,2,0.66,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,35-39,5,0.25,0.19,0.4,0.2,2,3,3,12,0,0,0.0,3,2,1.0,2,1,0.33,2,0,0.0,1,1,0.25,3,0,0.0,0,1,0.2,4,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,40-44,1,0.0,0.25,0.0,0.33,0,1,1,2,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,45-49,2,0.0,0.25,0.0,0.33,0,2,2,4,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,0,2,1.0,0,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,5-9,6,0.0,0.24,0.0,0.33,0,6,6,12,0,1,0.16,5,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,6,0,0.0,0,5,0.83,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,f,60-64,1,0.0,0.25,0.0,0.33,0,1,1,2,0,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,0-4,11,0.0,0.28,0.0,0.33,0,11,11,22,0,2,0.18,9,0,0.0,6,0,0.0,5,0,0.0,0,7,0.63,4,0,0.0,5,2,0.33,4,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,10-14,2,0.0,0.37,0.0,0.33,0,2,2,4,0,0,0.0,2,0,0.0,0,1,0.5,1,0,0.0,1,1,1.0,0,0,0.0,1,0,0.0,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,15-19,2,0.25,0.25,0.5,0.16,1,1,1,5,1,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,0,1,1.0,0,1,1.0,0,0,0.0,2,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,20-24,1,0.0,0.25,0.0,0.33,0,1,1,2,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,25-29,5,0.25,0.21,0.2,0.26,1,4,4,11,0,1,0.25,3,1,1.0,2,0,0.0,3,0,0.0,0,3,0.6,2,0,0.0,2,0,0.0,3,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,30-34,2,0.0,0.25,0.0,0.33,0,2,2,4,0,0,0.0,2,0,0.0,2,0,0.0,0,0,0.0,0,1,0.5,1,0,0.0,0,1,0.5,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,35-39,7,0.25,0.24,0.14,0.28,1,6,6,15,0,1,0.16,5,1,1.0,4,0,0.0,3,0,0.0,1,2,0.33,4,0,0.0,1,3,0.5,3,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,40-44,1,0.0,0.25,0.0,0.33,0,1,1,2,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,45-49,4,0.0,0.25,0.0,0.33,0,4,4,8,0,1,0.25,3,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,3,0.75,1,0,0.0
"fitzpatrick, sex, ageGroup",6.0,m,5-9,20,0.62,0.22,0.15,0.28,3,17,17,43,1,1,0.05,17,1,0.5,16,0,0.0,4,0,0.0,0,3,0.15,16,1,1.0,0,13,0.68,6,1,1.0
