GroupBy,fitzpatrick,sex,ageGroup,country,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
ageGroup,,,65-69,,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ageGroup,,,70-74,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,75-79,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,80-84,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,85-89,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,90-94,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,95-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,,,,Guinea,86,0.64,0.12,0.71,0.1,61.0,25.0,25.0,233.0,0.648,5.0,7.0,0.09,67.0,7.0,0.58,11.0,8.0,0.23,27.0,40.0,0.78,3.0,3.0,0.04,75.0,5.0,0.62,6.0,7.0,0.1,64.0,9.0,0.6
country,,,,Madagascar,443,0.55,0.13,0.65,0.12,286.0,157.0,157.0,1172.0,0.551,44.0,61.0,0.19,256.0,82.0,0.65,54.0,39.0,0.12,290.0,60.0,0.53,10.0,14.0,0.03,415.0,4.0,0.29,49.0,43.0,0.17,211.0,140.0,0.74
country,,,,Malawi,438,0.72,0.1,0.74,0.09,325.0,113.0,113.0,1201.0,0.719,33.0,14.0,0.04,359.0,32.0,0.49,9.0,18.0,0.05,353.0,58.0,0.87,34.0,48.0,0.18,212.0,144.0,0.81,37.0,33.0,0.11,277.0,91.0,0.71
country,,,,Tanzania,19,0.12,0.13,0.47,0.18,9.0,10.0,10.0,47.0,0.474,10.0,0.0,0.0,0.0,9.0,0.47,0.0,2.0,0.11,17.0,0.0,0.0,0.0,3.0,0.16,16.0,0.0,0.0,0.0,5.0,0.26,14.0,0.0,0.0
"fitzpatrick, sex",3.0,f,,,156,0.64,0.12,0.67,0.11,105.0,51.0,51.0,417.0,0.634,11.0,17.0,0.16,92.0,36.0,0.77,10.0,8.0,0.06,130.0,8.0,0.44,13.0,11.0,0.09,110.0,22.0,0.63,17.0,15.0,0.15,85.0,39.0,0.7
"fitzpatrick, sex",3.0,m,,,147,0.71,0.1,0.7,0.1,103.0,44.0,44.0,397.0,0.709,17.0,9.0,0.09,93.0,28.0,0.62,10.0,11.0,0.1,101.0,25.0,0.71,11.0,7.0,0.06,105.0,24.0,0.69,6.0,17.0,0.15,98.0,26.0,0.81
"fitzpatrick, sex",4.0,f,,,129,0.68,0.11,0.68,0.11,88.0,41.0,41.0,346.0,0.681,4.0,20.0,0.19,88.0,17.0,0.81,14.0,10.0,0.1,88.0,17.0,0.55,12.0,2.0,0.02,97.0,18.0,0.6,11.0,9.0,0.11,73.0,36.0,0.77
"fitzpatrick, sex",4.0,m,,,125,0.65,0.12,0.66,0.11,82.0,43.0,43.0,332.0,0.647,15.0,11.0,0.11,88.0,11.0,0.42,13.0,14.0,0.14,83.0,15.0,0.54,2.0,5.0,0.05,106.0,12.0,0.86,13.0,13.0,0.19,55.0,44.0,0.77
"fitzpatrick, sex",5.0,f,,,108,0.73,0.09,0.74,0.09,80.0,28.0,28.0,296.0,0.731,14.0,5.0,0.06,78.0,11.0,0.44,5.0,8.0,0.1,75.0,20.0,0.8,4.0,7.0,0.09,69.0,28.0,0.88,5.0,8.0,0.1,74.0,21.0,0.81
"fitzpatrick, sex",5.0,m,,,234,0.71,0.11,0.69,0.1,162.0,72.0,72.0,630.0,0.706,26.0,13.0,0.07,174.0,21.0,0.45,10.0,8.0,0.04,182.0,34.0,0.77,2.0,33.0,0.18,155.0,44.0,0.96,34.0,18.0,0.13,119.0,63.0,0.65
"fitzpatrick, sex",6.0,f,,,32,0.67,0.11,0.75,0.08,24.0,8.0,8.0,88.0,0.672,3.0,1.0,0.04,25.0,3.0,0.5,1.0,5.0,0.31,11.0,15.0,0.94,1.0,1.0,0.04,27.0,3.0,0.75,3.0,1.0,0.04,25.0,3.0,0.5
"fitzpatrick, sex",6.0,m,,,55,0.63,0.12,0.67,0.11,37.0,18.0,18.0,147.0,0.628,2.0,6.0,0.12,44.0,3.0,0.6,11.0,3.0,0.15,17.0,24.0,0.69,2.0,2.0,0.04,49.0,2.0,0.5,3.0,7.0,0.16,37.0,8.0,0.73
"fitzpatrick, ageGroup",3.0,,00-04,,161,0.75,0.09,0.74,0.09,119.0,42.0,42.0,441.0,0.747,13.0,11.0,0.1,99.0,38.0,0.75,2.0,12.0,0.08,140.0,7.0,0.78,11.0,11.0,0.09,109.0,30.0,0.73,16.0,8.0,0.08,93.0,44.0,0.73
"fitzpatrick, ageGroup",3.0,,05-09,,61,0.68,0.12,0.62,0.13,38.0,23.0,23.0,160.0,0.677,7.0,6.0,0.13,41.0,7.0,0.5,6.0,2.0,0.04,43.0,10.0,0.62,10.0,5.0,0.14,32.0,14.0,0.58,0.0,10.0,0.19,44.0,7.0,1.0
"fitzpatrick, ageGroup",3.0,,10-14,,15,0.6,0.12,0.73,0.09,11.0,4.0,4.0,41.0,0.798,3.0,1.0,0.25,3.0,8.0,0.73,0.0,1.0,0.07,13.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,2.0,0.17,10.0,2.0,0.67
"fitzpatrick, ageGroup",3.0,,15-19,,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,20-24,,8,0.42,0.1,0.62,0.12,5.0,3.0,3.0,21.0,0.556,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.29,5.0,1.0,1.0,0.0,1.0,0.12,7.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.67
