GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
fitzpatrick,1.0,,,3,0.25,0.0,1.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
fitzpatrick,3.0,,,228,0.79,0.07,0.79,0.07,179.0,49.0,49.0,635.0,0.79,17.0,14.0,0.09,143.0,54.0,0.76,6.0,11.0,0.06,179.0,32.0,0.84,14.0,9.0,0.05,165.0,40.0,0.74,12.0,15.0,0.09,148.0,53.0,0.82
fitzpatrick,4.0,,,206,0.65,0.12,0.64,0.12,132.0,74.0,74.0,544.0,0.649,13.0,36.0,0.23,118.0,39.0,0.75,20.0,17.0,0.11,142.0,27.0,0.57,6.0,9.0,0.05,179.0,12.0,0.67,35.0,12.0,0.1,105.0,54.0,0.61
fitzpatrick,5.0,,,267,0.68,0.11,0.69,0.1,184.0,83.0,83.0,718.0,0.678,21.0,36.0,0.17,173.0,37.0,0.64,19.0,20.0,0.09,202.0,26.0,0.58,13.0,2.0,0.01,201.0,51.0,0.8,30.0,25.0,0.15,142.0,70.0,0.7
fitzpatrick,6.0,,,82,0.55,0.14,0.54,0.15,44.0,38.0,38.0,208.0,0.548,1.0,25.0,0.32,52.0,4.0,0.8,19.0,4.0,0.11,32.0,27.0,0.59,8.0,0.0,0.0,70.0,4.0,0.33,10.0,9.0,0.14,54.0,9.0,0.47
sex,,f,,317,0.68,0.11,0.68,0.11,217.0,100.0,100.0,851.0,0.676,28.0,39.0,0.17,187.0,63.0,0.69,34.0,26.0,0.1,224.0,33.0,0.49,12.0,11.0,0.04,257.0,37.0,0.76,26.0,24.0,0.12,183.0,84.0,0.76
sex,,m,,469,0.7,0.1,0.69,0.1,325.0,144.0,144.0,1263.0,0.703,24.0,72.0,0.19,302.0,71.0,0.75,30.0,26.0,0.07,334.0,79.0,0.72,29.0,9.0,0.02,358.0,73.0,0.72,61.0,37.0,0.12,269.0,102.0,0.63
ageGroup,,,00-04,236,0.74,0.09,0.75,0.08,178.0,58.0,58.0,650.0,0.737,23.0,24.0,0.16,123.0,66.0,0.74,7.0,9.0,0.04,206.0,14.0,0.67,15.0,9.0,0.06,150.0,62.0,0.81,13.0,16.0,0.09,171.0,36.0,0.73
ageGroup,,,05-09,200,0.81,0.07,0.79,0.07,158.0,42.0,42.0,558.0,0.81,2.0,14.0,0.08,166.0,18.0,0.9,8.0,12.0,0.08,134.0,46.0,0.85,14.0,6.0,0.04,141.0,39.0,0.74,18.0,10.0,0.08,117.0,55.0,0.75
ageGroup,,,10-14,68,0.67,0.12,0.65,0.12,44.0,24.0,24.0,180.0,0.669,4.0,16.0,0.3,38.0,10.0,0.71,5.0,4.0,0.07,50.0,9.0,0.64,2.0,2.0,0.03,59.0,5.0,0.71,13.0,2.0,0.06,33.0,20.0,0.61
ageGroup,,,15-19,20,0.27,0.19,0.5,0.17,10.0,10.0,10.0,50.0,0.268,1.0,6.0,0.32,13.0,0.0,0.0,2.0,2.0,0.12,14.0,2.0,0.5,1.0,0.0,0.0,19.0,0.0,0.0,6.0,2.0,0.33,4.0,8.0,0.57
ageGroup,,,20-24,55,0.33,0.19,0.49,0.17,27.0,28.0,28.0,137.0,0.441,10.0,10.0,0.24,32.0,3.0,0.23,10.0,7.0,0.18,31.0,7.0,0.41,0.0,1.0,0.02,54.0,0.0,0.0,8.0,10.0,0.33,20.0,17.0,0.68
ageGroup,,,25-29,52,0.5,0.16,0.52,0.16,27.0,25.0,25.0,131.0,0.502,2.0,14.0,0.3,33.0,3.0,0.6,6.0,9.0,0.28,23.0,14.0,0.7,2.0,0.0,0.0,49.0,1.0,0.33,15.0,2.0,0.07,26.0,9.0,0.38
ageGroup,,,30-34,55,0.45,0.16,0.55,0.15,30.0,25.0,25.0,140.0,0.451,6.0,13.0,0.33,26.0,10.0,0.62,13.0,1.0,0.03,33.0,8.0,0.38,3.0,1.0,0.02,51.0,0.0,0.0,3.0,10.0,0.25,30.0,12.0,0.8
ageGroup,,,35-39,27,0.76,0.12,0.67,0.11,18.0,9.0,9.0,72.0,0.759,1.0,3.0,0.15,17.0,6.0,0.86,6.0,2.0,0.12,15.0,4.0,0.4,0.0,0.0,0.0,26.0,1.0,1.0,2.0,4.0,0.22,14.0,7.0,0.78
ageGroup,,,40-44,21,0.61,0.13,0.62,0.13,13.0,8.0,8.0,55.0,0.608,2.0,4.0,0.27,11.0,4.0,0.67,1.0,3.0,0.17,15.0,2.0,0.67,1.0,0.0,0.0,19.0,1.0,0.5,4.0,1.0,0.09,10.0,6.0,0.6
ageGroup,,,45-49,15,0.64,0.04,0.87,0.04,13.0,2.0,2.0,43.0,0.847,0.0,1.0,0.09,10.0,4.0,1.0,1.0,1.0,0.08,11.0,2.0,0.67,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,0.88
