GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
ageGroup,,,65-69,1,0.0,0.25,0.0,0.33,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ageGroup,,,70-74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,75-79,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ageGroup,,,80-84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,85-89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,90-94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fitzpatrick, sex",1.0,m,,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, sex",3.0,f,,126,0.75,0.08,0.74,0.09,93.0,33.0,33.0,345.0,0.743,10.0,15.0,0.15,82.0,19.0,0.66,3.0,8.0,0.07,105.0,10.0,0.77,5.0,7.0,0.07,93.0,21.0,0.81,15.0,3.0,0.04,65.0,43.0,0.74
"fitzpatrick, sex",3.0,m,,145,0.76,0.08,0.77,0.08,111.0,34.0,34.0,401.0,0.766,15.0,11.0,0.1,100.0,19.0,0.56,4.0,9.0,0.08,108.0,24.0,0.86,5.0,7.0,0.06,101.0,32.0,0.86,10.0,7.0,0.07,92.0,36.0,0.78
"fitzpatrick, sex",4.0,f,,85,0.76,0.09,0.73,0.09,62.0,23.0,23.0,232.0,0.752,10.0,3.0,0.05,59.0,13.0,0.57,4.0,11.0,0.16,56.0,14.0,0.78,1.0,3.0,0.04,70.0,11.0,0.92,8.0,6.0,0.11,47.0,24.0,0.75
"fitzpatrick, sex",4.0,m,,111,0.78,0.08,0.77,0.08,86.0,25.0,25.0,308.0,0.778,6.0,8.0,0.09,85.0,12.0,0.67,4.0,8.0,0.1,73.0,26.0,0.87,2.0,4.0,0.04,95.0,10.0,0.83,13.0,5.0,0.08,55.0,38.0,0.75
"fitzpatrick, sex",5.0,f,,97,0.74,0.08,0.74,0.09,72.0,25.0,25.0,266.0,0.739,13.0,6.0,0.08,67.0,11.0,0.46,5.0,7.0,0.09,68.0,17.0,0.77,2.0,5.0,0.07,66.0,24.0,0.92,5.0,7.0,0.1,65.0,20.0,0.8
"fitzpatrick, sex",5.0,m,,171,0.75,0.08,0.77,0.08,131.0,40.0,40.0,473.0,0.746,13.0,14.0,0.1,127.0,17.0,0.57,12.0,13.0,0.1,115.0,31.0,0.72,2.0,5.0,0.04,118.0,46.0,0.96,13.0,8.0,0.07,113.0,37.0,0.74
"fitzpatrick, sex",6.0,f,,26,0.5,0.15,0.65,0.12,17.0,9.0,9.0,69.0,0.496,3.0,1.0,0.05,19.0,3.0,0.5,4.0,4.0,0.36,7.0,11.0,0.73,1.0,0.0,0.0,25.0,0.0,0.0,1.0,4.0,0.18,18.0,3.0,0.75
"fitzpatrick, sex",6.0,m,,48,0.58,0.11,0.71,0.1,34.0,14.0,14.0,130.0,0.574,5.0,5.0,0.12,37.0,1.0,0.17,5.0,3.0,0.18,14.0,26.0,0.84,1.0,4.0,0.09,41.0,2.0,0.67,3.0,2.0,0.05,38.0,5.0,0.62
"fitzpatrick, ageGroup",1.0,,05-09,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,00-04,122,0.8,0.09,0.74,0.09,90.0,32.0,32.0,334.0,0.795,10.0,14.0,0.16,75.0,23.0,0.7,0.0,5.0,0.04,111.0,6.0,1.0,6.0,9.0,0.11,74.0,33.0,0.85,16.0,4.0,0.05,74.0,28.0,0.64
"fitzpatrick, ageGroup",3.0,,05-09,75,0.8,0.05,0.84,0.05,63.0,12.0,12.0,213.0,0.807,2.0,5.0,0.07,64.0,4.0,0.67,3.0,2.0,0.04,54.0,16.0,0.84,4.0,2.0,0.04,49.0,20.0,0.83,3.0,3.0,0.06,46.0,23.0,0.88
"fitzpatrick, ageGroup",3.0,,10-14,19,0.61,0.06,0.79,0.07,15.0,4.0,4.0,53.0,0.811,2.0,0.0,0.0,14.0,3.0,0.6,0.0,2.0,0.12,15.0,2.0,1.0,0.0,2.0,0.11,17.0,0.0,0.0,2.0,0.0,0.0,7.0,10.0,0.83
"fitzpatrick, ageGroup",3.0,,15-19,8,0.38,0.06,0.75,0.08,6.0,2.0,2.0,22.0,0.75,2.0,0.0,0.0,4.0,2.0,0.5,0.0,2.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0
"fitzpatrick, ageGroup",3.0,,20-24,13,0.57,0.1,0.69,0.1,9.0,4.0,4.0,35.0,0.764,1.0,3.0,0.3,7.0,2.0,0.67,0.0,1.0,0.09,10.0,2.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.62
"fitzpatrick, ageGroup",3.0,,25-29,9,0.38,0.03,0.89,0.04,8.0,1.0,1.0,26.0,0.75,1.0,0.0,0.0,7.0,1.0,0.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.11,8.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0
"fitzpatrick, ageGroup",3.0,,30-34,5,0.21,0.29,0.4,0.2,2.0,3.0,3.0,12.0,0.417,2.0,1.0,0.5,1.0,1.0,0.33,1.0,2.0,0.67,1.0,1.0,0.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,35-39,3,0.12,0.17,0.33,0.22,1.0,2.0,2.0,7.0,0.25,0.0,2.0,0.67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,40-44,4,0.42,0.08,0.75,0.08,3.0,1.0,1.0,11.0,0.833,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.67,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.33,2.0,1.0,1.0
"fitzpatrick, ageGroup",3.0,,45-49,2,0.5,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,50-54,4,0.33,0.15,0.5,0.17,2.0,2.0,2.0,10.0,0.667,2.0,0.0,0.0,1.0,1.0,0.33,0.0,1.0,0.33,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.25,3.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,55-59,4,0.17,0.33,0.5,0.17,2.0,2.0,2.0,10.0,0.333,1.0,1.0,0.33,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.67,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,60-64,2,0.0,0.25,0.0,0.33,0.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
"fitzpatrick, ageGroup",4.0,,00-04,47,0.81,0.07,0.79,0.07,37.0,10.0,10.0,131.0,0.811,5.0,2.0,0.07,28.0,12.0,0.71,0.0,2.0,0.05,41.0,4.0,1.0,1.0,2.0,0.06,29.0,15.0,0.94,4.0,4.0,0.11,33.0,6.0,0.6
"fitzpatrick, ageGroup",4.0,,05-09,47,0.84,0.07,0.79,0.07,37.0,10.0,10.0,131.0,0.835,2.0,3.0,0.08,35.0,7.0,0.78,0.0,2.0,0.05,39.0,6.0,1.0,1.0,4.0,0.1,37.0,5.0,0.83,7.0,1.0,0.05,20.0,19.0,0.73
"fitzpatrick, ageGroup",4.0,,10-14,13,0.79,0.08,0.77,0.08,10.0,3.0,3.0,36.0,0.792,1.0,1.0,0.1,9.0,2.0,0.67,1.0,2.0,0.2,8.0,2.0,0.67,0.0,0.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,7.0,5.0,0.83
"fitzpatrick, ageGroup",4.0,,15-19,5,0.38,0.15,0.6,0.13,3.0,2.0,2.0,13.0,0.5,1.0,1.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.33,2.0,1.0,0.5
"fitzpatrick, ageGroup",4.0,,20-24,18,0.4,0.14,0.67,0.11,12.0,6.0,6.0,48.0,0.53,3.0,0.0,0.0,15.0,0.0,0.0,2.0,2.0,0.18,9.0,5.0,0.71,0.0,1.0,0.06,17.0,0.0,0.0,1.0,3.0,0.3,7.0,7.0,0.88
"fitzpatrick, ageGroup",4.0,,25-29,17,0.33,0.09,0.71,0.1,12.0,5.0,5.0,46.0,0.444,1.0,2.0,0.12,14.0,0.0,0.0,2.0,3.0,0.23,10.0,2.0,0.5,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,5.0,10.0,0.83
"fitzpatrick, ageGroup",4.0,,30-34,11,0.58,0.08,0.73,0.09,8.0,3.0,3.0,30.0,0.583,1.0,1.0,0.11,8.0,1.0,0.5,0.0,2.0,0.22,7.0,2.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.83
"fitzpatrick, ageGroup",4.0,,35-39,10,0.38,0.12,0.8,0.07,8.0,2.0,2.0,28.0,0.75,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.5,2.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.5
"fitzpatrick, ageGroup",4.0,,40-44,10,0.5,0.12,0.8,0.07,8.0,2.0,2.0,28.0,0.667,1.0,0.0,0.0,8.0,1.0,0.5,0.0,2.0,0.5,2.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.5
"fitzpatrick, ageGroup",4.0,,45-49,4,0.5,0.12,0.75,0.08,3.0,1.0,1.0,11.0,0.667,0.0,1.0,0.5,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
"fitzpatrick, ageGroup",4.0,,50-54,7,0.45,0.05,0.86,0.05,6.0,1.0,1.0,20.0,0.9,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.8,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.2,4.0,2.0,1.0
"fitzpatrick, ageGroup",4.0,,55-59,1,0.0,0.25,0.0,0.33,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"fitzpatrick, ageGroup",4.0,,60-64,4,0.38,0.12,0.75,0.08,3.0,1.0,1.0,11.0,0.75,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0
"fitzpatrick, ageGroup",4.0,,65-69,1,0.0,0.25,0.0,0.33,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",4.0,,75-79,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"fitzpatrick, ageGroup",5.0,,00-04,78,0.8,0.07,0.79,0.07,62.0,16.0,16.0,218.0,0.793,9.0,2.0,0.04,55.0,12.0,0.57,1.0,4.0,0.06,62.0,11.0,0.92,4.0,4.0,0.09,39.0,31.0,0.89,2.0,6.0,0.09,62.0,8.0,0.8
"fitzpatrick, ageGroup",5.0,,05-09,78,0.7,0.06,0.81,0.06,63.0,15.0,15.0,219.0,0.697,6.0,5.0,0.07,65.0,2.0,0.25,5.0,3.0,0.05,56.0,14.0,0.74,0.0,3.0,0.06,44.0,31.0,1.0,4.0,4.0,0.07,54.0,16.0,0.8
"fitzpatrick, ageGroup",5.0,,10-14,26,0.75,0.07,0.77,0.08,20.0,6.0,6.0,72.0,0.747,1.0,4.0,0.17,20.0,1.0,0.5,4.0,0.0,0.0,16.0,6.0,0.6,0.0,1.0,0.05,20.0,5.0,1.0,1.0,1.0,0.06,16.0,8.0,0.89
"fitzpatrick, ageGroup",5.0,,15-19,12,0.32,0.12,0.58,0.14,7.0,5.0,5.0,31.0,0.433,1.0,1.0,0.14,6.0,4.0,0.8,1.0,3.0,0.27,8.0,0.0,0.0,0.0,1.0,0.08,11.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,0.5
"fitzpatrick, ageGroup",5.0,,20-24,13,0.48,0.12,0.69,0.1,9.0,4.0,4.0,35.0,0.639,2.0,1.0,0.1,9.0,1.0,0.33,1.0,2.0,0.22,7.0,3.0,0.75,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.14,6.0,5.0,0.83
