GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
ageGroup,,,15-19,20,0.61,0.08,0.85,0.05,17.0,3.0,3.0,57.0,0.608,1.0,2.0,0.11,16.0,1.0,0.5,0.0,0.0,0.0,18.0,2.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,0.2,4.0,14.0,0.93
ageGroup,,,20-24,32,0.63,0.07,0.84,0.05,27.0,5.0,5.0,91.0,0.632,2.0,2.0,0.08,23.0,5.0,0.71,1.0,0.0,0.0,24.0,7.0,0.88,1.0,0.0,0.0,31.0,0.0,0.0,1.0,3.0,0.19,13.0,15.0,0.94
ageGroup,,,25-29,65,0.67,0.11,0.69,0.1,45.0,20.0,20.0,175.0,0.669,9.0,4.0,0.08,44.0,8.0,0.47,6.0,9.0,0.2,36.0,14.0,0.7,1.0,1.0,0.02,61.0,2.0,0.67,4.0,6.0,0.15,34.0,21.0,0.84
ageGroup,,,30-34,41,0.62,0.1,0.71,0.1,29.0,12.0,12.0,111.0,0.618,1.0,3.0,0.1,26.0,11.0,0.92,5.0,5.0,0.16,26.0,5.0,0.5,4.0,0.0,0.0,36.0,1.0,0.2,2.0,4.0,0.15,23.0,12.0,0.86
ageGroup,,,35-39,35,0.54,0.12,0.66,0.11,23.0,12.0,12.0,93.0,0.539,3.0,5.0,0.2,20.0,7.0,0.7,3.0,4.0,0.17,20.0,8.0,0.73,3.0,0.0,0.0,32.0,0.0,0.0,3.0,3.0,0.12,21.0,8.0,0.73
ageGroup,,,40-44,21,0.68,0.12,0.67,0.11,14.0,7.0,7.0,56.0,0.673,1.0,2.0,0.11,16.0,2.0,0.67,4.0,2.0,0.15,11.0,4.0,0.5,1.0,0.0,0.0,18.0,2.0,0.67,1.0,3.0,0.21,11.0,6.0,0.86
ageGroup,,,45-49,24,0.58,0.08,0.79,0.07,19.0,5.0,5.0,67.0,0.771,2.0,2.0,0.11,16.0,4.0,0.67,2.0,1.0,0.09,10.0,11.0,0.85,0.0,0.0,0.0,24.0,0.0,0.0,1.0,2.0,0.11,17.0,4.0,0.8
ageGroup,,,50-54,13,0.35,0.13,0.69,0.1,9.0,4.0,4.0,35.0,0.463,1.0,2.0,0.18,9.0,1.0,0.5,2.0,1.0,0.09,10.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.25,3.0,8.0,0.89
ageGroup,,,55-59,14,0.57,0.14,0.64,0.12,9.0,5.0,5.0,37.0,0.767,4.0,1.0,0.17,5.0,4.0,0.5,1.0,3.0,0.33,6.0,4.0,0.8,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.08,12.0,1.0,1.0
ageGroup,,,60-64,7,0.75,0.0,1.0,0.0,7.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0
ageGroup,,,65-69,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ageGroup,,,70-74,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
ageGroup,,,75-79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,80-84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,85-89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,90-94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fitzpatrick, sex",1.0,m,,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, sex",3.0,f,,92,0.75,0.09,0.76,0.08,70.0,22.0,22.0,254.0,0.748,7.0,7.0,0.1,62.0,16.0,0.7,2.0,3.0,0.04,81.0,6.0,0.75,6.0,2.0,0.03,68.0,16.0,0.73,7.0,10.0,0.19,43.0,32.0,0.82
"fitzpatrick, sex",3.0,m,,129,0.86,0.05,0.85,0.05,110.0,19.0,19.0,368.0,0.852,5.0,9.0,0.09,94.0,21.0,0.81,8.0,2.0,0.02,94.0,25.0,0.76,5.0,5.0,0.06,83.0,36.0,0.88,1.0,3.0,0.03,97.0,28.0,0.97
"fitzpatrick, sex",4.0,f,,103,0.82,0.06,0.82,0.06,84.0,19.0,19.0,290.0,0.816,4.0,9.0,0.11,70.0,20.0,0.83,6.0,4.0,0.05,75.0,18.0,0.75,2.0,1.0,0.01,89.0,11.0,0.85,7.0,5.0,0.08,56.0,35.0,0.83
"fitzpatrick, sex",4.0,m,,116,0.77,0.08,0.77,0.08,89.0,27.0,27.0,321.0,0.767,10.0,5.0,0.06,83.0,18.0,0.64,7.0,10.0,0.11,85.0,14.0,0.67,1.0,4.0,0.04,98.0,13.0,0.93,9.0,8.0,0.13,55.0,44.0,0.83
"fitzpatrick, sex",5.0,f,,86,0.77,0.08,0.76,0.08,65.0,21.0,21.0,237.0,0.773,11.0,5.0,0.08,56.0,14.0,0.56,1.0,6.0,0.09,63.0,16.0,0.94,7.0,4.0,0.06,60.0,15.0,0.68,2.0,6.0,0.09,58.0,20.0,0.91
"fitzpatrick, sex",5.0,m,,161,0.84,0.05,0.84,0.05,136.0,25.0,25.0,458.0,0.834,9.0,8.0,0.06,119.0,25.0,0.74,4.0,5.0,0.04,128.0,24.0,0.86,6.0,4.0,0.03,119.0,32.0,0.84,6.0,8.0,0.08,92.0,55.0,0.9
"fitzpatrick, sex",6.0,f,,30,0.68,0.1,0.73,0.09,22.0,8.0,8.0,82.0,0.681,2.0,2.0,0.08,22.0,4.0,0.67,2.0,3.0,0.19,13.0,12.0,0.86,3.0,0.0,0.0,25.0,2.0,0.4,1.0,3.0,0.12,22.0,4.0,0.8
"fitzpatrick, sex",6.0,m,,41,0.6,0.14,0.61,0.13,25.0,16.0,16.0,107.0,0.596,2.0,7.0,0.19,29.0,3.0,0.6,7.0,5.0,0.23,17.0,12.0,0.63,5.0,1.0,0.03,32.0,3.0,0.38,2.0,3.0,0.09,29.0,7.0,0.78
"fitzpatrick, ageGroup",1.0,,05-09,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,00-04,110,0.71,0.07,0.8,0.07,88.0,22.0,22.0,308.0,0.711,7.0,10.0,0.12,70.0,23.0,0.77,3.0,2.0,0.02,103.0,2.0,0.4,6.0,5.0,0.07,64.0,35.0,0.85,6.0,5.0,0.07,71.0,28.0,0.82
"fitzpatrick, ageGroup",3.0,,05-09,55,0.88,0.04,0.87,0.04,48.0,7.0,7.0,158.0,0.877,1.0,3.0,0.06,44.0,7.0,0.88,2.0,0.0,0.0,39.0,14.0,0.88,3.0,1.0,0.03,36.0,15.0,0.83,1.0,3.0,0.07,39.0,12.0,0.92
"fitzpatrick, ageGroup",3.0,,10-14,15,0.96,0.02,0.93,0.02,14.0,1.0,1.0,44.0,0.958,0.0,0.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,9.0,5.0,0.83,0.0,1.0,0.08,12.0,2.0,1.0,0.0,0.0,0.0,9.0,6.0,1.0
"fitzpatrick, ageGroup",3.0,,15-19,4,0.5,0.0,1.0,0.0,4.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
"fitzpatrick, ageGroup",3.0,,20-24,4,0.75,0.0,1.0,0.0,4.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
"fitzpatrick, ageGroup",3.0,,25-29,10,0.56,0.12,0.7,0.1,7.0,3.0,3.0,27.0,0.75,2.0,1.0,0.17,5.0,2.0,0.5,1.0,1.0,0.17,5.0,3.0,0.75,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.12,7.0,2.0,1.0
"fitzpatrick, ageGroup",3.0,,30-34,5,0.29,0.21,0.6,0.13,3.0,2.0,2.0,13.0,0.583,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.33,2.0,1.0,0.5,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.5,1.0,2.0,0.67
"fitzpatrick, ageGroup",3.0,,35-39,8,0.5,0.17,0.5,0.17,4.0,4.0,4.0,20.0,0.5,1.0,1.0,0.17,5.0,1.0,0.5,1.0,1.0,0.17,5.0,1.0,0.5,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.33,4.0,2.0,1.0
"fitzpatrick, ageGroup",3.0,,40-44,3,0.5,0.12,0.67,0.11,2.0,1.0,1.0,8.0,0.667,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
"fitzpatrick, ageGroup",3.0,,45-49,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,50-54,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
"fitzpatrick, ageGroup",3.0,,55-59,2,0.25,0.12,0.5,0.17,1.0,1.0,1.0,5.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,60-64,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",3.0,,70-74,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"fitzpatrick, ageGroup",4.0,,00-04,47,0.81,0.08,0.77,0.08,36.0,11.0,11.0,130.0,0.81,5.0,3.0,0.1,26.0,13.0,0.72,0.0,3.0,0.07,42.0,2.0,1.0,1.0,3.0,0.09,29.0,14.0,0.93,5.0,2.0,0.06,33.0,7.0,0.58
"fitzpatrick, ageGroup",4.0,,05-09,35,0.9,0.04,0.89,0.04,31.0,4.0,4.0,101.0,0.904,2.0,1.0,0.04,27.0,5.0,0.71,0.0,1.0,0.03,32.0,2.0,1.0,0.0,1.0,0.03,28.0,6.0,1.0,2.0,1.0,0.07,14.0,18.0,0.9
"fitzpatrick, ageGroup",4.0,,10-14,21,0.79,0.08,0.76,0.08,16.0,5.0,5.0,58.0,0.785,2.0,1.0,0.07,14.0,4.0,0.67,2.0,2.0,0.12,14.0,3.0,0.6,0.0,0.0,0.0,19.0,2.0,1.0,1.0,2.0,0.15,11.0,7.0,0.88
"fitzpatrick, ageGroup",4.0,,15-19,12,0.23,0.04,0.83,0.06,10.0,2.0,2.0,34.0,0.455,0.0,2.0,0.17,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.91
"fitzpatrick, ageGroup",4.0,,20-24,11,0.45,0.02,0.91,0.03,10.0,1.0,1.0,32.0,0.9,0.0,1.0,0.09,10.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.8,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0
"fitzpatrick, ageGroup",4.0,,25-29,24,0.78,0.1,0.71,0.1,17.0,7.0,7.0,65.0,0.776,1.0,2.0,0.1,18.0,3.0,0.75,3.0,3.0,0.19,13.0,5.0,0.62,0.0,1.0,0.04,22.0,1.0,1.0,3.0,1.0,0.08,12.0,8.0,0.73
"fitzpatrick, ageGroup",4.0,,30-34,19,0.57,0.06,0.84,0.05,16.0,3.0,3.0,54.0,0.755,1.0,1.0,0.09,10.0,7.0,0.88,1.0,1.0,0.06,16.0,1.0,0.5,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,0.1,9.0,8.0,0.89
"fitzpatrick, ageGroup",4.0,,35-39,12,0.5,0.12,0.67,0.11,8.0,4.0,4.0,32.0,0.672,1.0,2.0,0.22,7.0,2.0,0.67,1.0,1.0,0.12,7.0,3.0,0.75,0.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,0.14,6.0,3.0,0.6
"fitzpatrick, ageGroup",4.0,,40-44,12,0.48,0.14,0.67,0.11,8.0,4.0,4.0,32.0,0.633,0.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,0.14,6.0,3.0,0.6,1.0,0.0,0.0,10.0,1.0,0.5,1.0,3.0,0.43,4.0,4.0,0.8
"fitzpatrick, ageGroup",4.0,,45-49,9,0.71,0.04,0.89,0.04,8.0,1.0,1.0,26.0,0.944,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,0.83,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.14,6.0,2.0,1.0
"fitzpatrick, ageGroup",4.0,,50-54,6,0.38,0.19,0.5,0.17,3.0,3.0,3.0,15.0,0.5,1.0,1.0,0.25,3.0,1.0,0.5,2.0,1.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.25,3.0,2.0,1.0
"fitzpatrick, ageGroup",4.0,,55-59,4,0.62,0.08,0.75,0.08,3.0,1.0,1.0,11.0,0.833,1.0,0.0,0.0,2.0,1.0,0.5,0.0,1.0,0.33,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
"fitzpatrick, ageGroup",4.0,,60-64,5,0.5,0.0,1.0,0.0,5.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
"fitzpatrick, ageGroup",4.0,,65-69,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",4.0,,70-74,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"fitzpatrick, ageGroup",5.0,,00-04,64,0.83,0.07,0.81,0.06,52.0,12.0,12.0,180.0,0.83,7.0,2.0,0.05,42.0,13.0,0.65,1.0,1.0,0.02,53.0,9.0,0.9,3.0,5.0,0.13,34.0,22.0,0.88,1.0,4.0,0.07,51.0,8.0,0.89
"fitzpatrick, ageGroup",5.0,,05-09,86,0.88,0.05,0.84,0.05,72.0,14.0,14.0,244.0,0.884,0.0,6.0,0.07,75.0,5.0,1.0,1.0,2.0,0.03,65.0,18.0,0.95,10.0,3.0,0.06,51.0,22.0,0.69,3.0,3.0,0.05,53.0,27.0,0.9
"fitzpatrick, ageGroup",5.0,,10-14,15,0.75,0.02,0.93,0.02,14.0,1.0,1.0,44.0,0.75,1.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.07,13.0,1.0,1.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,5.0,10.0,1.0
"fitzpatrick, ageGroup",5.0,,15-19,4,0.38,0.12,0.75,0.08,3.0,1.0,1.0,11.0,0.75,1.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0
"fitzpatrick, ageGroup",5.0,,20-24,14,0.63,0.1,0.79,0.07,11.0,3.0,3.0,39.0,0.841,2.0,1.0,0.12,7.0,4.0,0.67,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0,0.29,5.0,6.0,0.86
"fitzpatrick, ageGroup",5.0,,25-29,21,0.42,0.14,0.67,0.11,14.0,7.0,7.0,56.0,0.556,5.0,1.0,0.06,15.0,0.0,0.0,1.0,3.0,0.18,14.0,3.0,0.75,0.0,0.0,0.0,21.0,0.0,0.0,1.0,3.0,0.33,6.0,11.0,0.92
"fitzpatrick, ageGroup",5.0,,30-34,10,0.62,0.07,0.8,0.07,8.0,2.0,2.0,28.0,0.833,0.0,1.0,0.17,5.0,4.0,1.0,2.0,0.0,0.0,6.0,2.0,0.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.12,7.0,2.0,1.0
"fitzpatrick, ageGroup",5.0,,35-39,7,0.69,0.04,0.86,0.05,6.0,1.0,1.0,20.0,0.917,1.0,0.0,0.0,3.0,3.0,0.75,0.0,1.0,0.17,5.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0
"fitzpatrick, ageGroup",5.0,,40-44,3,0.38,0.08,0.67,0.11,2.0,1.0,1.0,8.0,0.75,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
"fitzpatrick, ageGroup",5.0,,45-49,10,0.67,0.04,0.9,0.03,9.0,1.0,1.0,29.0,0.889,0.0,1.0,0.14,6.0,3.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.67
"fitzpatrick, ageGroup",5.0,,50-54,5,0.2,0.05,0.8,0.07,4.0,1.0,1.0,14.0,0.8,0.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.8
"fitzpatrick, ageGroup",5.0,,55-59,6,0.4,0.1,0.67,0.11,4.0,2.0,2.0,16.0,0.8,2.0,0.0,0.0,1.0,3.0,0.6,0.0,2.0,0.4,3.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
"fitzpatrick, ageGroup",5.0,,60-64,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",5.0,,65-69,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,00-04,11,0.75,0.0,1.0,0.0,11.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0
"fitzpatrick, ageGroup",6.0,,05-09,18,0.75,0.08,0.78,0.07,14.0,4.0,4.0,50.0,0.75,1.0,2.0,0.12,14.0,1.0,0.5,1.0,1.0,0.12,7.0,9.0,0.9,0.0,1.0,0.06,16.0,1.0,1.0,2.0,0.0,0.0,13.0,3.0,0.6
"fitzpatrick, ageGroup",6.0,,10-14,5,0.21,0.15,0.4,0.2,2.0,3.0,3.0,12.0,0.417,0.0,1.0,0.2,4.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.33,1.0,0.0,0.0,3.0,1.0,0.5,0.0,2.0,0.4,3.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,20-24,3,0.5,0.12,0.67,0.11,2.0,1.0,1.0,8.0,0.667,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0
"fitzpatrick, ageGroup",6.0,,25-29,10,0.5,0.11,0.7,0.1,7.0,3.0,3.0,27.0,0.667,1.0,0.0,0.0,6.0,3.0,0.75,1.0,2.0,0.33,4.0,3.0,0.75,1.0,0.0,0.0,8.0,1.0,0.5,0.0,1.0,0.1,9.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,30-34,7,0.18,0.22,0.29,0.24,2.0,5.0,5.0,16.0,0.35,0.0,1.0,0.14,6.0,0.0,0.0,1.0,3.0,0.6,2.0,1.0,0.5,4.0,0.0,0.0,2.0,1.0,0.2,0.0,1.0,0.14,6.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,35-39,8,0.56,0.14,0.62,0.12,5.0,3.0,3.0,21.0,0.562,0.0,2.0,0.29,5.0,1.0,1.0,1.0,1.0,0.25,3.0,3.0,0.75,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.5
"fitzpatrick, ageGroup",6.0,,40-44,3,0.38,0.08,0.67,0.11,2.0,1.0,1.0,8.0,0.75,0.0,1.0,0.33,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,45-49,4,0.12,0.31,0.25,0.25,1.0,3.0,3.0,9.0,0.25,2.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.25,3.0,0.0,0.0
"fitzpatrick, ageGroup",6.0,,55-59,2,0.12,0.12,0.5,0.17,1.0,1.0,1.0,5.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"sex, ageGroup",,f,00-04,103,0.8,0.09,0.75,0.08,77.0,26.0,26.0,283.0,0.804,10.0,8.0,0.12,60.0,25.0,0.71,0.0,4.0,0.04,94.0,5.0,1.0,6.0,6.0,0.08,69.0,22.0,0.79,10.0,8.0,0.12,60.0,25.0,0.71
