GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
fitzpatrick,1.0,,,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
fitzpatrick,3.0,,,221,0.81,0.06,0.81,0.06,180.0,41.0,41.0,622.0,0.805,12.0,16.0,0.09,156.0,37.0,0.76,10.0,5.0,0.03,175.0,31.0,0.76,11.0,7.0,0.04,151.0,52.0,0.83,8.0,13.0,0.08,140.0,60.0,0.88
fitzpatrick,4.0,,,219,0.79,0.07,0.79,0.07,173.0,46.0,46.0,611.0,0.791,14.0,14.0,0.08,153.0,38.0,0.73,13.0,14.0,0.08,160.0,32.0,0.71,3.0,5.0,0.03,187.0,24.0,0.89,16.0,13.0,0.1,111.0,79.0,0.83
fitzpatrick,5.0,,,247,0.81,0.06,0.81,0.06,201.0,46.0,46.0,695.0,0.809,20.0,13.0,0.07,175.0,39.0,0.66,5.0,11.0,0.05,191.0,40.0,0.89,13.0,8.0,0.04,179.0,47.0,0.78,8.0,14.0,0.09,150.0,75.0,0.9
fitzpatrick,6.0,,,71,0.64,0.12,0.66,0.11,47.0,24.0,24.0,189.0,0.633,4.0,9.0,0.15,51.0,7.0,0.64,9.0,8.0,0.21,30.0,24.0,0.73,8.0,1.0,0.02,57.0,5.0,0.38,3.0,6.0,0.11,51.0,11.0,0.79
sex,,f,,311,0.77,0.08,0.77,0.08,241.0,70.0,70.0,863.0,0.767,24.0,23.0,0.1,210.0,54.0,0.69,11.0,16.0,0.06,232.0,52.0,0.83,18.0,7.0,0.03,242.0,44.0,0.71,17.0,24.0,0.12,179.0,91.0,0.84
sex,,m,,449,0.79,0.06,0.81,0.06,362.0,87.0,87.0,1260.0,0.795,26.0,29.0,0.08,327.0,67.0,0.72,26.0,22.0,0.06,326.0,75.0,0.74,17.0,14.0,0.04,332.0,86.0,0.83,18.0,22.0,0.07,275.0,134.0,0.88
ageGroup,,,00-04,232,0.8,0.07,0.81,0.06,187.0,45.0,45.0,651.0,0.802,19.0,15.0,0.09,147.0,51.0,0.73,4.0,6.0,0.03,206.0,16.0,0.8,10.0,13.0,0.09,138.0,71.0,0.88,12.0,11.0,0.06,160.0,49.0,0.8
ageGroup,,,05-09,196,0.85,0.05,0.85,0.05,167.0,29.0,29.0,559.0,0.849,4.0,12.0,0.07,162.0,18.0,0.82,4.0,4.0,0.03,145.0,43.0,0.91,13.0,6.0,0.04,131.0,46.0,0.78,8.0,7.0,0.05,121.0,60.0,0.88
ageGroup,,,10-14,56,0.78,0.06,0.82,0.06,46.0,10.0,10.0,158.0,0.785,3.0,2.0,0.04,46.0,5.0,0.62,5.0,3.0,0.07,38.0,10.0,0.67,1.0,1.0,0.02,46.0,8.0,0.89,1.0,4.0,0.12,28.0,23.0,0.96
