GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
fitzpatrick,1.0,,,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
fitzpatrick,3.0,,,242,0.83,0.05,0.85,0.05,205.0,37.0,37.0,689.0,0.829,14.0,11.0,0.06,176.0,41.0,0.75,8.0,7.0,0.03,201.0,26.0,0.76,7.0,5.0,0.03,161.0,69.0,0.91,8.0,14.0,0.08,151.0,69.0,0.9
fitzpatrick,4.0,,,186,0.78,0.07,0.81,0.06,151.0,35.0,35.0,523.0,0.782,13.0,8.0,0.06,137.0,28.0,0.68,10.0,11.0,0.08,133.0,32.0,0.76,4.0,3.0,0.02,165.0,14.0,0.78,8.0,13.0,0.13,88.0,77.0,0.91
fitzpatrick,5.0,,,278,0.8,0.07,0.79,0.07,221.0,57.0,57.0,777.0,0.798,23.0,10.0,0.05,194.0,51.0,0.69,13.0,17.0,0.08,198.0,50.0,0.79,7.0,8.0,0.04,219.0,44.0,0.86,14.0,22.0,0.12,166.0,76.0,0.84
fitzpatrick,6.0,,,71,0.7,0.11,0.75,0.08,53.0,18.0,18.0,195.0,0.698,5.0,2.0,0.04,55.0,9.0,0.64,8.0,7.0,0.23,24.0,32.0,0.8,2.0,2.0,0.03,64.0,3.0,0.6,3.0,7.0,0.12,52.0,9.0,0.75
sex,,f,,312,0.79,0.07,0.8,0.07,250.0,62.0,62.0,874.0,0.791,24.0,13.0,0.05,224.0,51.0,0.68,18.0,18.0,0.07,226.0,50.0,0.74,9.0,9.0,0.04,244.0,50.0,0.85,11.0,22.0,0.11,180.0,99.0,0.9
sex,,m,,467,0.82,0.06,0.82,0.06,382.0,85.0,85.0,1316.0,0.816,31.0,18.0,0.05,340.0,78.0,0.72,21.0,24.0,0.07,332.0,90.0,0.81,11.0,9.0,0.02,365.0,82.0,0.88,22.0,34.0,0.11,279.0,132.0,0.86
ageGroup,,,00-04,240,0.86,0.05,0.84,0.05,202.0,38.0,38.0,682.0,0.854,21.0,7.0,0.04,152.0,60.0,0.74,2.0,11.0,0.05,211.0,16.0,0.89,8.0,7.0,0.04,154.0,71.0,0.9,7.0,13.0,0.07,165.0,55.0,0.89
ageGroup,,,05-09,184,0.85,0.04,0.88,0.04,162.0,22.0,22.0,530.0,0.846,6.0,4.0,0.02,162.0,12.0,0.67,7.0,5.0,0.04,121.0,51.0,0.88,3.0,8.0,0.06,126.0,47.0,0.94,6.0,5.0,0.04,121.0,52.0,0.9
ageGroup,,,10-14,72,0.73,0.1,0.72,0.09,52.0,20.0,20.0,196.0,0.73,9.0,5.0,0.1,45.0,13.0,0.59,3.0,4.0,0.07,55.0,10.0,0.77,3.0,0.0,0.0,59.0,10.0,0.77,5.0,11.0,0.23,37.0,19.0,0.79
ageGroup,,,15-19,23,0.66,0.06,0.83,0.06,19.0,4.0,4.0,65.0,0.664,0.0,4.0,0.22,14.0,5.0,1.0,1.0,0.0,0.0,16.0,6.0,0.86,1.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,13.0,8.0,0.8
ageGroup,,,20-24,36,0.6,0.07,0.81,0.06,29.0,7.0,7.0,101.0,0.597,2.0,1.0,0.03,28.0,5.0,0.71,2.0,3.0,0.11,24.0,7.0,0.78,1.0,1.0,0.03,34.0,0.0,0.0,2.0,2.0,0.12,15.0,17.0,0.89
ageGroup,,,25-29,59,0.72,0.07,0.81,0.06,48.0,11.0,11.0,166.0,0.725,3.0,1.0,0.02,48.0,7.0,0.7,2.0,6.0,0.13,40.0,11.0,0.85,1.0,2.0,0.04,55.0,1.0,0.5,5.0,2.0,0.08,23.0,29.0,0.85
ageGroup,,,30-34,46,0.52,0.11,0.7,0.1,32.0,14.0,14.0,124.0,0.527,7.0,2.0,0.06,29.0,8.0,0.53,4.0,5.0,0.15,28.0,9.0,0.69,1.0,0.0,0.0,45.0,0.0,0.0,2.0,7.0,0.24,22.0,15.0,0.88
ageGroup,,,35-39,33,0.64,0.1,0.7,0.1,23.0,10.0,10.0,89.0,0.645,4.0,2.0,0.1,18.0,9.0,0.69,4.0,2.0,0.08,22.0,5.0,0.56,2.0,0.0,0.0,30.0,1.0,0.33,0.0,6.0,0.24,19.0,8.0,1.0
ageGroup,,,40-44,32,0.81,0.11,0.72,0.09,23.0,9.0,9.0,87.0,0.81,1.0,1.0,0.04,27.0,3.0,0.75,7.0,1.0,0.07,14.0,10.0,0.59,0.0,0.0,0.0,31.0,1.0,1.0,1.0,7.0,0.32,15.0,9.0,0.9
ageGroup,,,45-49,22,0.6,0.06,0.82,0.06,18.0,4.0,4.0,62.0,0.8,1.0,2.0,0.11,16.0,3.0,0.75,2.0,2.0,0.14,12.0,6.0,0.75,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,12.0,9.0,0.9
ageGroup,,,50-54,13,0.34,0.12,0.69,0.1,9.0,4.0,4.0,35.0,0.679,0.0,2.0,0.15,11.0,0.0,0.0,3.0,1.0,0.14,6.0,3.0,0.5,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.17,5.0,6.0,0.86
ageGroup,,,55-59,7,0.88,0.06,0.86,0.05,6.0,1.0,1.0,20.0,0.875,1.0,0.0,0.0,5.0,1.0,0.5,0.0,1.0,0.25,3.0,3.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0
ageGroup,,,60-64,7,0.5,0.18,0.57,0.14,4.0,3.0,3.0,18.0,0.667,0.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,0.33,2.0,2.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.4,3.0,1.0,0.5
ageGroup,,,65-69,3,0.75,0.0,1.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
ageGroup,,,70-74,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ageGroup,,,75-79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,80-84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,85-89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ageGroup,,,90-94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fitzpatrick, sex",1.0,m,,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, sex",3.0,f,,103,0.85,0.04,0.86,0.05,89.0,14.0,14.0,295.0,0.849,4.0,4.0,0.05,77.0,18.0,0.82,2.0,3.0,0.03,89.0,9.0,0.82,5.0,4.0,0.05,69.0,25.0,0.83,3.0,3.0,0.05,60.0,37.0,0.92
"fitzpatrick, sex",3.0,m,,139,0.82,0.06,0.83,0.06,116.0,23.0,23.0,394.0,0.814,10.0,7.0,0.07,99.0,23.0,0.7,6.0,4.0,0.03,112.0,17.0,0.74,2.0,1.0,0.01,92.0,44.0,0.96,5.0,11.0,0.11,91.0,32.0,0.86
"fitzpatrick, sex",4.0,f,,82,0.75,0.08,0.79,0.07,65.0,17.0,17.0,229.0,0.747,5.0,6.0,0.09,62.0,9.0,0.64,6.0,6.0,0.1,56.0,14.0,0.7,3.0,0.0,0.0,71.0,8.0,0.73,3.0,5.0,0.11,40.0,34.0,0.92
"fitzpatrick, sex",4.0,m,,104,0.82,0.06,0.83,0.06,86.0,18.0,18.0,294.0,0.819,8.0,2.0,0.03,75.0,19.0,0.7,4.0,5.0,0.06,77.0,18.0,0.82,1.0,3.0,0.03,94.0,6.0,0.86,5.0,8.0,0.14,48.0,43.0,0.9
"fitzpatrick, sex",5.0,f,,101,0.79,0.08,0.77,0.08,78.0,23.0,23.0,280.0,0.792,13.0,2.0,0.03,66.0,20.0,0.61,5.0,7.0,0.09,74.0,15.0,0.75,1.0,3.0,0.04,81.0,16.0,0.94,4.0,11.0,0.16,59.0,27.0,0.87
"fitzpatrick, sex",5.0,m,,177,0.8,0.06,0.81,0.06,143.0,34.0,34.0,497.0,0.806,10.0,8.0,0.06,128.0,31.0,0.76,8.0,10.0,0.07,124.0,35.0,0.81,6.0,5.0,0.03,138.0,28.0,0.82,10.0,11.0,0.09,107.0,49.0,0.83
"fitzpatrick, sex",6.0,f,,26,0.72,0.12,0.69,0.1,18.0,8.0,8.0,70.0,0.718,2.0,1.0,0.05,19.0,4.0,0.67,5.0,2.0,0.22,7.0,12.0,0.71,0.0,2.0,0.08,23.0,1.0,1.0,1.0,3.0,0.12,21.0,1.0,0.5
