GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
fitzpatrick,1.0,,,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
fitzpatrick,3.0,,,231,0.78,0.08,0.78,0.07,181.0,50.0,50.0,643.0,0.775,15.0,25.0,0.15,141.0,50.0,0.77,11.0,6.0,0.03,188.0,26.0,0.7,9.0,8.0,0.05,160.0,54.0,0.86,15.0,11.0,0.07,154.0,51.0,0.77
fitzpatrick,4.0,,,221,0.78,0.08,0.77,0.08,171.0,50.0,50.0,613.0,0.787,10.0,21.0,0.12,154.0,36.0,0.78,21.0,12.0,0.07,152.0,36.0,0.63,2.0,3.0,0.02,195.0,21.0,0.91,17.0,14.0,0.11,112.0,78.0,0.82
fitzpatrick,5.0,,,255,0.79,0.07,0.8,0.07,203.0,52.0,52.0,713.0,0.794,15.0,19.0,0.1,178.0,43.0,0.74,12.0,15.0,0.07,187.0,41.0,0.77,6.0,8.0,0.04,178.0,63.0,0.91,19.0,10.0,0.06,170.0,56.0,0.75
fitzpatrick,6.0,,,72,0.55,0.14,0.62,0.12,45.0,27.0,27.0,189.0,0.552,8.0,7.0,0.13,46.0,11.0,0.58,10.0,10.0,0.29,25.0,27.0,0.73,6.0,3.0,0.05,59.0,4.0,0.4,3.0,7.0,0.11,59.0,3.0,0.5
sex,,f,,295,0.76,0.08,0.77,0.08,227.0,68.0,68.0,817.0,0.76,16.0,31.0,0.15,178.0,70.0,0.81,21.0,16.0,0.07,227.0,31.0,0.6,8.0,7.0,0.03,230.0,50.0,0.86,23.0,14.0,0.07,182.0,76.0,0.77
sex,,m,,485,0.77,0.08,0.77,0.08,374.0,111.0,111.0,1344.0,0.77,32.0,41.0,0.11,342.0,70.0,0.69,33.0,27.0,0.08,326.0,99.0,0.75,15.0,15.0,0.04,362.0,93.0,0.86,31.0,28.0,0.08,314.0,112.0,0.78
ageGroup,,,00-04,234,0.85,0.06,0.82,0.06,192.0,42.0,42.0,660.0,0.848,19.0,10.0,0.06,149.0,56.0,0.75,0.0,13.0,0.06,202.0,19.0,1.0,14.0,9.0,0.07,128.0,83.0,0.86,9.0,10.0,0.05,181.0,34.0,0.79
ageGroup,,,05-09,188,0.87,0.04,0.88,0.04,166.0,22.0,22.0,542.0,0.874,3.0,9.0,0.05,161.0,15.0,0.83,6.0,0.0,0.0,130.0,52.0,0.9,2.0,9.0,0.07,123.0,54.0,0.96,11.0,4.0,0.03,128.0,45.0,0.8
ageGroup,,,10-14,58,0.71,0.08,0.76,0.08,44.0,14.0,14.0,160.0,0.711,3.0,5.0,0.11,39.0,11.0,0.79,3.0,4.0,0.09,42.0,9.0,0.75,3.0,2.0,0.04,50.0,3.0,0.5,5.0,3.0,0.09,29.0,21.0,0.81
